ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,on_amf_B0,on_amf_B1,on_amf_B2,on_smf_B0,on_smf_B1,on_smf_B2,on_upf_B0,on_upf_B1,on_upf_B2,gnd_amf_B0,gnd_amf_B1,gnd_amf_B2,gnd_smf_B0,gnd_smf_B1,gnd_smf_B2,gnd_upf_B0,gnd_upf_B1,gnd_upf_B2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
21,2026-05-16T15:37:01.143393+00:00,instagram,ISL,32.131,40.837,32.131,1.0,0.0,44.081,52.212,0.5422,0.4578,0,1.0,0.0,0.0,0.355,0.381,-0.02451,-0.06651,0,1.0,0.0,0.0,0.996,0.3704,0.04464,0.11381,2,0.0,0.0,1.0,3.759,0.6667,0.07594,0.10788,5.111,49.192,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.189,0.0,1.003,1.003,2.887,2.95,2.95
22,2026-05-16T15:37:07.146718+00:00,instagram,GND,42.995,36.113,36.113,0.0,1.0,54.945,47.488,0.4636,0.5364,0,1.0,0.0,0.0,0.226,0.2286,-0.01245,-0.05601,0,1.0,0.0,0.0,0.175,0.1786,-0.01552,-0.09094,0,1.0,0.0,0.0,0.31,0.1857,0.00598,0.03167,0.71,48.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.433,0.0,0.0,0.0,2.887,2.95,2.95
23,2026-05-16T15:37:13.154006+00:00,instagram,ISL,12.068,21.972,12.068,1.0,0.0,24.018,33.347,0.5813,0.4187,0,1.0,0.0,0.0,0.48,0.381,-0.01203,-0.03208,0,1.0,0.0,0.0,0.325,0.3704,-0.02251,-0.0627,2,0.0,0.0,1.0,2.315,0.6667,-0.06845,-0.10834,3.12,27.138,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.126,0.0,0.0,0.0,2.887,2.95,2.95
24,2026-05-16T15:37:19.164725+00:00,instagram,GND,22.17,25.374,25.374,0.0,1.0,34.12,36.749,0.5185,0.4815,0,1.0,0.0,0.0,0.311,0.2286,-0.00392,-0.0173,0,1.0,0.0,0.0,0.375,0.1786,0.00447,0.02472,0,1.0,0.0,0.0,0.203,0.1857,-0.00467,-0.02549,0.889,37.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.693,2.629,0.0,0.0,5.516,2.95,2.95
25,2026-05-16T15:37:25.265870+00:00,instagram,ISL,15.346,25.144,15.346,1.0,0.0,27.296,36.519,0.5723,0.4277,0,1.0,0.0,0.0,0.313,0.381,-0.02875,-0.07846,0,1.0,0.0,0.0,0.797,0.3704,0.02469,0.06453,2,0.0,0.0,1.0,2.11,0.6667,-0.08898,-0.14327,3.22,30.515,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.403,0.0,0.0,0.0,5.516,2.95,2.95
26,2026-05-16T15:37:31.273109+00:00,instagram,ISL,20.645,25.892,20.645,1.0,0.0,32.595,37.267,0.5334,0.4666,0,1.0,0.0,0.0,0.328,0.381,-0.02719,-0.07404,0,1.0,0.0,0.0,1.173,0.3704,0.06227,0.15541,2,0.0,0.0,1.0,2.393,0.6667,-0.06072,-0.09551,3.894,36.489,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.703,0.0,0.0,0.0,5.516,2.95,2.95
27,2026-05-16T15:37:37.286945+00:00,instagram,GND,42.743,29.199,29.199,0.0,1.0,54.693,40.574,0.4259,0.5741,0,1.0,0.0,0.0,0.293,0.2286,-0.00571,-0.02528,0,1.0,0.0,0.0,0.275,0.1786,-0.00548,-0.0312,0,1.0,0.0,0.0,0.188,0.1857,-0.00624,-0.03418,0.756,41.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.519,0.0,0.0,0.0,5.516,2.95,2.95
28,2026-05-16T15:37:43.294249+00:00,instagram,GND,39.203,35.231,35.231,0.0,1.0,51.153,46.606,0.4767,0.5233,0,1.0,0.0,0.0,0.433,0.2286,0.00827,0.03556,0,1.0,0.0,0.0,0.169,0.1786,-0.01609,-0.09445,0,1.0,0.0,0.0,0.116,0.1857,-0.01345,-0.07515,0.717,47.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.551,0.0,0.0,0.0,5.516,2.95,2.95
29,2026-05-16T15:37:49.297804+00:00,instagram,ISL,12.11,29.077,12.11,1.0,0.0,24.06,40.452,0.627,0.373,0,1.0,0.0,0.0,0.581,0.381,-0.00194,-0.0051,0,1.0,0.0,0.0,0.387,0.3704,-0.01631,-0.04504,2,0.0,0.0,1.0,3.147,0.6667,0.01472,0.02184,4.115,28.175,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.168,0.0,0.007,0.007,5.516,2.957,2.957
30,2026-05-16T15:37:55.328189+00:00,gaming,GND,33.07,34.074,34.074,0.0,1.0,45.02,45.449,0.5024,0.4976,0,1.0,0.0,0.0,0.368,0.0914,0.00183,0.00799,0,1.0,0.0,0.0,0.153,0.0714,-0.01767,-0.10421,0,1.0,0.0,0.0,0.023,0.0229,-0.02269,-0.50589,0.545,45.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.287,0.429,0.0,0.0,5.945,2.957,2.957
