timestamp,seq,msg_id,prop_delay_ms,isl_ms
2026-05-07T08:35:13.216446+00:00,75,0x01,2.225,2.225
2026-05-07T08:35:14.159132+00:00,85,0x01,2.225,2.225
2026-05-07T08:35:14.789139+00:00,90,0x01,2.249,2.249
2026-05-07T08:35:15.110103+00:00,94,0x01,2.249,2.249
2026-05-07T08:35:16.380495+00:00,143,0x01,2.278,2.278
2026-05-07T08:35:16.696306+00:00,145,0x01,2.278,2.278
2026-05-07T08:35:18.257682+00:00,160,0x01,2.278,2.278
2026-05-07T08:35:20.172025+00:00,202,0x01,2.306,2.306
2026-05-07T08:35:20.494724+00:00,205,0x01,2.335,2.335
2026-05-07T08:35:20.809961+00:00,209,0x01,2.335,2.335
2026-05-07T08:35:21.123712+00:00,211,0x01,2.335,2.335
2026-05-07T08:35:21.748341+00:00,218,0x01,2.335,2.335
2026-05-07T08:35:22.061996+00:00,221,0x01,2.335,2.335
2026-05-07T08:35:22.921628+00:00,216,0x01,2.362,2.362
2026-05-07T08:35:23.238211+00:00,218,0x01,2.362,2.362
2026-05-07T08:35:23.554207+00:00,221,0x01,2.362,2.362
2026-05-07T08:35:23.870517+00:00,225,0x01,2.362,2.362
2026-05-07T08:35:24.187247+00:00,227,0x01,2.362,2.362
2026-05-07T08:35:24.511414+00:00,230,0x01,2.386,2.386
2026-05-07T08:35:24.833006+00:00,233,0x01,2.386,2.386
2026-05-07T08:35:25.151466+00:00,236,0x01,2.386,2.386
2026-05-07T08:35:27.059161+00:00,32,0x01,2.414,2.414
2026-05-07T08:35:27.377727+00:00,35,0x01,2.414,2.414
2026-05-07T08:35:28.008901+00:00,42,0x01,2.414,2.414
2026-05-07T08:35:28.328571+00:00,45,0x01,2.443,2.443
2026-05-07T08:35:28.654653+00:00,48,0x01,2.443,2.443
2026-05-07T08:35:28.942288+00:00,49,0x01,2.443,2.443
2026-05-07T08:35:29.818711+00:00,46,0x01,2.443,2.443
2026-05-07T08:35:30.132774+00:00,49,0x01,2.443,2.443
2026-05-07T08:35:30.453767+00:00,52,0x01,2.472,2.472
2026-05-07T08:35:31.084467+00:00,58,0x01,2.472,2.472
2026-05-07T08:35:31.399525+00:00,61,0x01,2.472,2.472
2026-05-07T08:35:32.990521+00:00,108,0x01,2.5,2.5
2026-05-07T08:35:33.306955+00:00,111,0x01,2.5,2.5
2026-05-07T08:35:33.935468+00:00,116,0x01,2.5,2.5
2026-05-07T08:35:34.251373+00:00,120,0x01,2.5,2.5
2026-05-07T08:35:34.571847+00:00,122,0x01,2.524,2.524
2026-05-07T08:35:34.891787+00:00,126,0x01,2.524,2.524
2026-05-07T08:35:45.977394+00:00,21,0x01,2.662,2.662
2026-05-07T08:35:46.293344+00:00,25,0x01,2.662,2.662
2026-05-07T08:35:46.612849+00:00,28,0x01,2.687,2.687
2026-05-07T08:35:46.930266+00:00,31,0x01,2.687,2.687
2026-05-07T08:35:47.250460+00:00,33,0x01,2.687,2.687
2026-05-07T08:35:47.569110+00:00,36,0x01,2.687,2.687
2026-05-07T08:35:47.886498+00:00,40,0x01,2.687,2.687
2026-05-07T08:35:48.203321+00:00,42,0x01,2.687,2.687
2026-05-07T08:35:49.049953+00:00,40,0x01,2.718,2.718
2026-05-07T08:35:49.379195+00:00,42,0x01,2.718,2.718
2026-05-07T08:35:49.692724+00:00,45,0x01,2.718,2.718
2026-05-07T08:35:50.005439+00:00,49,0x01,2.718,2.718
2026-05-07T08:35:50.320280+00:00,51,0x01,2.745,2.745
2026-05-07T08:35:50.953865+00:00,58,0x01,2.745,2.745
2026-05-07T08:35:51.270775+00:00,60,0x01,2.745,2.745
2026-05-07T08:35:52.539928+00:00,102,0x01,2.775,2.775
2026-05-07T08:35:53.178691+00:00,108,0x01,2.775,2.775
2026-05-07T08:35:53.815340+00:00,114,0x01,2.775,2.775
2026-05-07T08:35:54.152204+00:00,118,0x01,2.775,2.775
2026-05-07T08:35:54.469217+00:00,120,0x01,2.8,2.8
2026-05-07T08:35:55.062333+00:00,126,0x01,2.8,2.8
2026-05-07T08:35:55.631523+00:00,121,0x01,2.8,2.8
2026-05-07T08:35:56.273073+00:00,127,0x01,2.8,2.8
