ho_id,timestamp,task_type,path,isl_ms,gnd_ms,prop_ms,path_p_isl,path_p_gnd,access_cost_isl,access_cost_gnd,inv_cost_p_isl,inv_cost_p_gnd,trgsat_bg,tn_bg,amf_inst,amf_p0,amf_p1,amf_p2,amf_ms,amf_rho,amf_x,amf_cost,smf_inst,smf_p0,smf_p1,smf_p2,smf_ms,smf_rho,smf_x,smf_cost,upf_inst,upf_p0,upf_p1,upf_p2,upf_ms,upf_rho,upf_x,upf_cost,core_ms,total_ms,on_amf_p0,on_amf_p1,on_amf_p2,on_smf_p0,on_smf_p1,on_smf_p2,on_upf_p0,on_upf_p1,on_upf_p2,gnd_amf_p0,gnd_amf_p1,gnd_amf_p2,gnd_smf_p0,gnd_smf_p1,gnd_smf_p2,gnd_upf_p0,gnd_upf_p1,gnd_upf_p2,global_oracle_ms,access_regret_ms,inst_regret_ms,global_regret_ms,cum_access_regret_ms,cum_inst_regret_ms,cum_global_regret_ms
21,2026-05-12T21:09:01.565886+00:00,gaming,ISL,12.617,22.425,12.617,0.5,0.5,22.95,31.544,0.5789,0.4211,0.8065,0.4517,0,0.3333,0.3333,0.3333,0.762,0.2133,-0.07384,-0.14902,0,0.3333,0.3333,0.3333,0.35,0.1667,-0.06498,-0.16954,1,0.3333,0.3333,0.3333,0.313,0.2611,-0.16872,-0.29903,1.425,24.375,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,24.587,0.0,0.0,0.0,100.774,42.516,128.913
22,2026-05-12T21:09:11.582386+00:00,gaming,ISL,19.122,24.57,19.122,0.5,0.5,29.908,33.769,0.5303,0.4697,0.8146,0.4564,0,0.3333,0.3333,0.3333,0.35,0.2133,-0.11496,-0.24276,2,0.3333,0.3333,0.3333,1.382,0.3333,0.03818,0.04479,1,0.3333,0.3333,0.3333,1.066,0.2611,-0.09337,-0.15435,2.799,32.707,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,31.545,0.0,1.162,1.162,100.774,43.678,130.075
23,2026-05-12T21:09:21.602476+00:00,gaming,GND,11.492,12.743,12.743,0.5,0.5,22.722,22.022,0.4922,0.5078,0.8219,0.4612,2,0.3333,0.3333,0.3333,1.728,0.3048,0.1228,0.14944,2,0.3333,0.3333,0.3333,0.312,0.1905,0.0012,0.00251,0,0.3333,0.3333,0.3333,0.05,0.0448,-0.03502,-0.37536,2.09,24.112,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,22.565,0.0,1.547,1.547,100.774,45.225,131.622
24,2026-05-12T21:09:31.614800+00:00,gaming,ISL,19.41,24.188,19.41,0.5,0.5,31.066,33.548,0.5192,0.4808,0.8284,0.4658,1,0.3333,0.3333,0.3333,0.451,0.3048,-0.10485,-0.14806,0,0.3333,0.3333,0.3333,0.309,0.1667,-0.06906,-0.18121,0,0.3333,0.3333,0.3333,0.27,0.1741,-0.17296,-0.50659,1.031,32.097,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,32.702,0.0,0.0,0.0,100.774,45.225,131.622
25,2026-05-12T21:09:41.617652+00:00,gaming,ISL,17.262,25.688,17.262,0.5,0.5,29.317,35.129,0.5451,0.4549,0.8341,0.4704,1,0.3333,0.3333,0.3333,1.243,0.3048,-0.02568,-0.03429,1,0.3333,0.3333,0.3333,0.578,0.2222,-0.04224,-0.07907,2,0.3333,0.3333,0.3333,1.048,0.4178,-0.09515,-0.09552,2.869,32.186,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,30.953,0.0,1.233,1.233,100.774,46.458,132.855
26,2026-05-12T21:09:51.628361+00:00,gaming,ISL,13.311,20.429,13.311,0.5,0.5,25.728,29.953,0.5379,0.4621,0.8389,0.475,1,0.3333,0.3333,0.3333,0.646,0.3048,-0.0854,-0.11888,0,0.3333,0.3333,0.3333,0.144,0.1667,-0.08557,-0.22988,2,0.3333,0.3333,0.3333,2.009,0.4178,0.00088,0.00084,2.799,28.527,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,27.364,0.0,1.163,1.163,100.774,47.62,134.017
27,2026-05-12T21:10:01.637746+00:00,gaming,GND,6.146,16.326,16.326,0.5,0.5,18.877,25.932,0.5787,0.4213,0.8429,0.4795,2,0.3333,0.3333,0.3333,0.437,0.3048,-0.00628,-0.00827,0,0.3333,0.3333,0.3333,0.53,0.0714,0.02301,0.12122,2,0.3333,0.3333,0.3333,0.286,0.1119,-0.01142,-0.04169,1.253,27.186,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,20.513,7.056,0.71,6.673,107.83,48.331,140.69
28,2026-05-12T21:10:11.652873+00:00,gaming,GND,14.691,19.731,19.731,0.5,0.5,27.678,29.42,0.5153,0.4847,0.846,0.484,1,0.3333,0.3333,0.3333,0.173,0.1524,-0.03274,-0.08987,1,0.3333,0.3333,0.3333,0.196,0.1143,-0.01041,-0.0371,0,0.3333,0.3333,0.3333,0.177,0.0448,-0.02225,-0.22172,0.546,29.966,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,29.314,1.742,0.003,0.652,109.573,48.334,141.342
29,2026-05-12T21:10:21.673748+00:00,gaming,GND,14.385,23.19,23.19,0.5,0.5,27.562,32.962,0.5446,0.4554,0.8482,0.4883,1,0.3333,0.3333,0.3333,0.263,0.1524,-0.02369,-0.06421,2,0.3333,0.3333,0.3333,1.437,0.1905,0.11369,0.21411,0,0.3333,0.3333,0.3333,0.068,0.0448,-0.03325,-0.35257,1.768,34.73,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,29.198,5.401,1.225,5.532,114.973,49.559,146.874
30,2026-05-12T21:10:31.672661+00:00,mixed,GND,15.28,20.995,20.995,0.5,0.5,28.574,30.85,0.5192,0.4808,0.8496,0.4927,0,0.3333,0.3333,0.3333,0.278,0.1829,-0.02222,-0.10226,2,0.3333,0.3333,0.3333,0.388,0.381,0.00885,0.01841,0,0.3333,0.3333,0.3333,0.292,0.1371,-0.01078,-0.06496,0.958,31.809,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,31.213,2.277,0.32,0.596,117.25,49.879,147.47
